date,day,time,title,artists,location,image_url
31.08.2022,Wednesday,19.30,Berlin Philharmonic 1,"['Berlin Philharmonic ', ' Kirill Petrenko']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/68/0d/680dd9ef-da48-430e-819f-a21d5a8610f9/583-190828_19327_sk10_tutti_applaus_cpketterer_lucernefestival_01.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
01.09.2022,Thursday,12.15,Debut Samuel Nebyu,"['Samuel Nebyu ', ' Charles Abramovic']","Lukaskirche, Kirchensaal",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/19/50/19505ffd-fe3b-4b6c-ae4a-c96635d9a17b/nebyu_sam_2_c_michael_shingo_crawford.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
01.09.2022,Thursday,19.30,Berlin Philharmonic 2,"['Berlin Philharmonic ', ' Kirill Petrenko ', ' Tabea Zimmermann']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/ea/00/ea0080ed-ca20-4d61-bb9b-b80e5d8f0008/zimmermanntabea_cr-marco-borggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
02.09.2022,Friday,19.30,Concert Juan Diego Flórez,"['Juan Diego Flórez ', ' Sinfonía por el Perú Youth Orchestra ', ' Roberto González-Monjas']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/b7/7b/b77bc4fe-2904-4eb0-a211-6323c014d849/210905_rezital_florez_scalera_c_manuelajans_lucerne_festival19x.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
03.09.2022,Saturday,11.00,Lucerne Festival Academy 4,"['Lucerne Festival Contemporary Orchestra (LFCO) ', ' Sylvain Cambreling']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/34/c5/34c5ea19-8b23-4fc8-a8a4-207a6e81421a/cambrelingsylvain-000_c_marcoborggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
03.09.2022,Saturday,14.30,Composer Seminar — Closing Concert,"['Ensemble of the International Ensemble Modern Academy (IEMA) ', ' Participants in the masterclass']","KKL Luzern, Lucerne Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/48/bb/48bbc39f-112f-47d1-aeb3-c294d496bdea/210818_composerseminar_rihm_ammann_c_peterfischli_lucerne_festival_06.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
03.09.2022,Saturday,18.30,London Symphony Orchestra 1,"['London Symphony Orchestra  ', ' Sir Simon Rattle']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/47/6e/476e9b7a-8254-488c-9d1c-ae70845bae4b/210908_lso_rattle_c_priskaketterer_lucerne_festival_05.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
04.09.2022,Sunday,11.00,London Symphony Orchestra 2,"['London Symphony Orchestra  ', ' Sir Simon Rattle']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/a7/84/a7842ac3-22b3-4747-9e20-bff8a53d46d8/190910_19351_sk23_rattle_lso_cpketterer_lucernefestival_48.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
04.09.2022,Sunday,16.00,Quatuor Diotima,"['Quatuor Diotima ', ' Mark Simpson']","Hochschule Luzern - Music, Salquin Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/59/19/5919df7d-bb1a-4813-b554-92ac1c875ce5/diotima1_lyodoh_kaneko.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
04.09.2022,Sunday,18.30,The Philadelphia Orchestra 1,"['Philadelphia Orchestra ', ' Yannick Nézet-Séguin ', ' Angel Blue']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/97/3e/973ed08a-e1e2-410d-84cc-feca04052634/nezet_seguin_photo-_jan_regan.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
05.09.2022,Monday,19.30,The Philadelphia Orchestra 2,"['Philadelphia Orchestra ', ' Yannick Nézet-Séguin ', ' Lisa Batiashvili ']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/5a/60/5a600297-79b1-4d8b-8642-4e0bf2cb96c5/lisa-batiashvili-photo-chris-singer-14-1600x1199.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
06.09.2022,Tuesday,12.15,Debut Abel Selaocoe,"['Abel Selaocoe ', ' Fred Thomas']","Lukaskirche, Kirchensaal",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/72/ec/72ecc12c-f02e-4123-a747-ecd0fe188f19/selaocoe_abel2_c_mlungisi_mlungwana.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
06.09.2022,Tuesday,19.30,Vienna Philharmonic 1,"['Vienna Philharmonic ', ' Esa-Pekka Salonen ', ' Yuja Wang']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/a5/83/a583b9e7-f931-4edd-9cd0-e012f8c63015/yujawang-7466-juliawesely.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
07.09.2022,Wednesday,19.30,Vienna Philharmonic 2,"['Vienna Philharmonic ', ' Esa-Pekka Salonen ', ' Valentine Michaud']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/98/b9/98b9e74f-e76d-4819-b717-e5e90de1cde6/salonen_c_annick_ramp.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
08.09.2022,Thursday,12.15,Debut Viano String Quartet,['Viano String Quartet'],"Lukaskirche, Kirchensaal",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/90/01/90015756-7b7d-4257-958d-94263b35ee3b/vianostringquartet3_c_vianostringquartetcom.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
08.09.2022,Thursday,19.30,The Cleveland Orchestra 1,"['The Cleveland Orchestra ', ' Franz Welser-Möst']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/37/c7/37c7d590-451c-4bfa-b7fd-59b0a6ae1269/clo091919_683_c_roger_mastroianni_2019_.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
09.09.2022,Friday,19.30,The Cleveland Orchestra 2,"['The Cleveland Orchestra ', ' Franz Welser-Möst']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/94/0d/940df7bc-fbea-44d7-be98-ab6177cb4a92/franzwelser-moestjuliawesely-.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
10.09.2022,Saturday,18.30,Bamberg Symphony,"['Bamberger Symphoniker ', ' Jakub Hrůša ', ' Angel Blue']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/83/f9/83f9ed21-3855-4ed9-bf08-62d577760389/bamberger_symphoniker_c_andreas_herzau.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
11.09.2022,Sunday,17.00,Chineke! Orchestra,"['Chineke! Orchestra ', ' Kevin John Edusei ', ' Sheku Kanneh-Mason']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/57/58/57581ece-31fe-4a57-9615-b6e0d88d76dc/sheku_kanneh-mason_6_credit_jake_turney_300dpi.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
